,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV31,0.000198556,0,0.000322653,0.008587526,0.001017597,0,0.002084833,0.004889429,0,0.000595667,0.005212082,0,0,0.000273014,0,0.003325805,0,0.000273014
ASV465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041001713,0
ASV24,0.000496389,9.93E-05,0.000620486,0.000918319,0.001365069,0.000297833,0.003400263,0.00131543,0.002060013,0.000397111,0.002804597,0.002010375,0.002481944,0.003400263,0.002159291,0.002109652,0.000794222,0.001365069
ASV35,0.000372292,2.48E-05,0.000595667,0.000198556,0.000670125,4.96E-05,0.001216152,0.005956665,0.001662902,0.002903874,0.001513986,0.00134025,0.001712541,0.002134472,0.002308208,0.002531583,0.000943139,0.001240972
ASV115,0,0,0,0,0,0,0,0.00486461,0.002184111,0.005162443,0,0.001389889,0.003772555,0.002333027,0.003003152,0.002606041,0,0.002581222
ASV466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031793701,0
ASV114,0,9.93E-05,0,0,0,0,0.002308208,0.008885359,0.001265791,0.002779777,0.001662902,0,0.002854235,0.002184111,0.001513986,0.001414708,0,0
ASV179,0,0,0.027524757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV29,0,0,0,0,0.001265791,0,0,0.003201708,0.000769403,0.003673277,0,0.001538805,0,0.001563625,0.001538805,0,0,0.000992778
ASV39,0.000397111,0,0.000223375,0.000148917,0.000273014,0,0.00131543,0.007594748,0.000719764,0.001290611,0.000794222,0.000967958,0.001240972,0.000967958,0.001092055,0.001166514,0,0.000397111
ASV32,0.000496389,0,0.000322653,0.000546028,0.00086868,0,0.001191333,0.000694944,0.001092055,0.001662902,0.002308208,0.001216152,0.000670125,0.001216152,0.000943139,0.000521208,0.001216152,0.00134025
ASV117,0,0,0,0,0,0,0.001067236,0.001464347,0.000992778,0.003201708,0.00134025,0,0,0.001563625,0.001588444,0.001886277,0.001042416,0.002581222
ASV46,0,0,0.000372292,0.000248194,0.000223375,0,0.000570847,0.003722916,0.001216152,0.000198556,0,0,0.00134025,0.001464347,0.001935916,0.002357847,0.000620486,0.000967958
ASV685,0,0,0,0,0,0,0,0.000297833,0.017621801,7.45E-05,0,0,0,0,0,0,0,0
