"","X2","Y2","OTU_2","OTU_1","weight","X1","Y1","cor","group","Group","nodes","label"
"66",6.33243851562978,10.7968969385167,"ASV28","ASV60",0.720767746256124,-8.11520588126273,1.02791221455187,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"67",6.33243851562978,10.7968969385167,"ASV28","ASV113",0.73294138714344,-4.89714432113555,1.70411131536975,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"68",6.33243851562978,10.7968969385167,"ASV28","ASV2",0.728469970062802,-11.6247249538978,1.54659065114101,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"69",5.08296458084059,12.2629482541419,"ASV21","ASV14",0.988636007071699,2.46429296176699,12.3753878124522,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"70",5.08296458084059,12.2629482541419,"ASV21","ASV26",1,3.11755830348672,4.90412084887299,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"71",5.08296458084059,12.2629482541419,"ASV21","ASV88",0.887750733829704,-1.6920888285668,8.25782053494125,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"72",5.08296458084059,12.2629482541419,"ASV21","ASV8",0.866396450391853,3.54867977991418,7.24060006709476,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"73",5.08296458084059,12.2629482541419,"ASV21","ASV6",1,5.40256155712284,6.64841338234247,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"74",5.08296458084059,12.2629482541419,"ASV21","ASV11",0.959085806544883,7.16117627592954,8.78071533373539,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"75",5.08296458084059,12.2629482541419,"ASV21","ASV491",0.854713606821857,7.89864729169083,6.38112739065467,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"76",5.08296458084059,12.2629482541419,"ASV21","ASV119",0.894549962970871,5.16589582660248,4.71669082320995,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"77",5.08296458084059,12.2629482541419,"ASV21","ASV5",0.904098534644624,9.24063868240895,-4.73422378168536,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"78",2.46429296176699,12.3753878124522,"ASV14","ASV26",1,3.11755830348672,4.90412084887299,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"79",2.46429296176699,12.3753878124522,"ASV14","ASV88",0.913358809274711,-1.6920888285668,8.25782053494125,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"80",2.46429296176699,12.3753878124522,"ASV14","ASV8",0.872597277141981,3.54867977991418,7.24060006709476,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"81",2.46429296176699,12.3753878124522,"ASV14","ASV6",1,5.40256155712284,6.64841338234247,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"82",2.46429296176699,12.3753878124522,"ASV14","ASV11",0.948503879590929,7.16117627592954,8.78071533373539,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"83",2.46429296176699,12.3753878124522,"ASV14","ASV491",0.819532987737492,7.89864729169083,6.38112739065467,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"84",2.46429296176699,12.3753878124522,"ASV14","ASV119",0.859081286205698,5.16589582660248,4.71669082320995,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"85",2.46429296176699,12.3753878124522,"ASV14","ASV5",0.889425552523978,9.24063868240895,-4.73422378168536,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"86",0.473755579288181,10.3013682271061,"ASV22","ASV139",0.978764662961015,7.57191473095234,12.5900765866431,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"87",0.473755579288181,10.3013682271061,"ASV22","ASV16",0.874029320389163,-0.354751309651036,12.9382250067014,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"88",0.473755579288181,10.3013682271061,"ASV22","ASV21",0.978923959392438,5.08296458084059,12.2629482541419,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"89",0.473755579288181,10.3013682271061,"ASV22","ASV14",0.98061470850582,2.46429296176699,12.3753878124522,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"90",0.473755579288181,10.3013682271061,"ASV22","ASV26",0.821049554702602,3.11755830348672,4.90412084887299,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
"91",0.473755579288181,10.3013682271061,"ASV22","ASV88",0.887332404635115,-1.6920888285668,8.25782053494125,"+","Mild","Mild",72,"Mild: (nodes: 72; links: )"
